order_month,delivered_orders,active_customers,total_revenue
2024-01,44,43,203192.63
2024-02,91,90,356233.25
2024-03,181,178,944181.07
2024-04,216,213,1022928.87
2024-05,305,295,1398719.41
2024-06,367,349,1705500.97
2024-07,458,446,2106714.37
2024-08,628,595,2896997.49
2024-09,596,573,2541175.61
2024-10,1130,1065,4836635.6
2024-11,1214,1150,5180735.31
2024-12,953,904,4380035.19
2025-01,1212,1135,5053753.95
2025-02,1036,960,4553304.53
2025-03,1129,1043,5013330.4
2025-04,1142,1043,5011031.23
2025-05,1247,1144,5294479.81
2025-06,1336,1198,5816066.06
2025-07,1421,1314,6289989.2
2025-08,1772,1616,7839670.32
2025-09,1606,1455,7223602.74
2025-10,2743,2529,11870212.13
2025-11,2745,2496,12585710.75
2025-12,1309,1200,6179451.99
