customer_id,city,state,city_tier,signup_date
CUST-10000,Chennai,Tamil Nadu,Tier 1,2024-09-14
CUST-10001,Bhubaneswar,Odisha,Tier 2,2025-01-22
CUST-10002,Ahmedabad,Gujarat,Tier 2,2024-02-14
CUST-10003,Pune,Maharashtra,Tier 1,2024-09-25
CUST-10004,Delhi NCR,Delhi,Tier 1,2024-11-06
CUST-10005,Delhi NCR,Delhi,Tier 1,2025-11-02
CUST-10006,Mumbai,Maharashtra,Tier 1,2024-10-04
CUST-10007,Bhopal,Madhya Pradesh,Tier 2,2025-04-19
CUST-10008,Pune,Maharashtra,Tier 1,2025-07-20
CUST-10009,Lucknow,Uttar Pradesh,Tier 2,2024-05-24
CUST-10010,Mumbai,Maharashtra,Tier 1,2024-08-22
CUST-10011,Bhubaneswar,Odisha,Tier 2,2025-11-21
CUST-10012,Patna,Bihar,Tier 2,2024-05-15
CUST-10013,Bangalore,Karnataka,Tier 1,2025-03-20
CUST-10014,Delhi NCR,Delhi,Tier 1,2024-12-18
CUST-10015,Delhi NCR,Delhi,Tier 1,2025-01-28
CUST-10016,Hyderabad,Telangana,Tier 1,2024-10-01
CUST-10017,Kolkata,West Bengal,Tier 1,2025-01-18
CUST-10018,Chennai,Tamil Nadu,Tier 1,2024-11-18
CUST-10019,Hyderabad,Telangana,Tier 1,2024-07-01
CUST-10020,Pune,Maharashtra,Tier 1,2025-07-26
CUST-10021,Delhi NCR,Delhi,Tier 1,2025-03-15
CUST-10022,Hyderabad,Telangana,Tier 1,2024-03-03
CUST-10023,Hyderabad,Telangana,Tier 1,2025-10-12
CUST-10024,Chennai,Tamil Nadu,Tier 1,2025-10-07
CUST-10025,Kochi,Kerala,Tier 2,2024-02-03
CUST-10026,Bangalore,Karnataka,Tier 1,2025-04-21
CUST-10027,Kolkata,West Bengal,Tier 1,2024-03-27
CUST-10028,Pune,Maharashtra,Tier 1,2024-07-28
CUST-10029,Mumbai,Maharashtra,Tier 1,2025-04-06
CUST-10030,Pune,Maharashtra,Tier 1,2024-03-21
CUST-10031,Delhi NCR,Delhi,Tier 1,2024-11-17
CUST-10032,Mumbai,Maharashtra,Tier 1,2025-02-18
CUST-10033,Bhubaneswar,Odisha,Tier 2,2024-07-08
CUST-10034,Bhubaneswar,Odisha,Tier 2,2024-08-20
CUST-10035,Indore,Madhya Pradesh,Tier 2,2025-01-26
CUST-10036,Hyderabad,Telangana,Tier 1,2024-06-17
CUST-10037,Delhi NCR,Delhi,Tier 1,2025-03-18
CUST-10038,Lucknow,Uttar Pradesh,Tier 2,2024-06-16
CUST-10039,Chennai,Tamil Nadu,Tier 1,2024-08-18
CUST-10040,Delhi NCR,Delhi,Tier 1,2024-05-29
CUST-10041,Kolkata,West Bengal,Tier 1,2025-10-25
