order_id,promised_delivery_date,actual_delivery_date,delivery_delay_days
ORD-100000,2025-06-06,2025-06-07,1.0
ORD-100001,2025-10-26,2025-10-26,0.0
ORD-100002,2025-06-06,2025-06-07,1.0
ORD-100003,2025-05-21,2025-05-21,0.0
ORD-100004,2025-11-20,2025-11-25,5.0
ORD-100005,2024-06-20,2024-06-20,0.0
ORD-100006,2025-12-19,2025-12-19,0.0
ORD-100007,2025-05-07,2025-05-08,1.0
ORD-100008,2025-12-14,,
ORD-100009,2025-04-25,2025-04-27,2.0
ORD-100010,2025-03-09,2025-03-10,1.0
ORD-100011,2024-10-29,2024-10-29,0.0
ORD-100012,2024-09-12,,
ORD-100013,2024-10-18,2024-10-19,1.0
ORD-100014,2025-05-07,,
ORD-100015,2025-02-02,2025-02-03,1.0
ORD-100016,2025-12-04,2025-12-04,0.0
ORD-100017,2025-08-24,2025-08-25,1.0
ORD-100018,2025-11-19,2025-11-20,1.0
ORD-100019,2025-07-12,2025-07-12,0.0
ORD-100020,2025-03-11,2025-03-11,0.0
ORD-100021,2024-12-12,2024-12-13,1.0
ORD-100022,2025-01-21,2025-01-21,0.0
ORD-100023,2025-07-10,2025-07-13,3.0
ORD-100024,2025-10-24,2025-10-24,0.0
ORD-100025,2024-10-13,2024-10-13,0.0
ORD-100026,2025-05-28,2025-05-28,0.0
ORD-100027,2025-04-12,2025-04-12,0.0
ORD-100028,2025-03-13,2025-03-13,0.0
ORD-100029,2025-02-24,2025-02-24,0.0
ORD-100030,2024-12-18,2024-12-18,0.0
ORD-100031,2025-09-27,2025-09-27,0.0
ORD-100032,2025-09-23,2025-09-24,1.0
ORD-100033,2025-01-10,2025-01-11,1.0
ORD-100034,2025-11-20,2025-11-21,1.0
ORD-100035,2025-10-16,2025-10-16,0.0
ORD-100036,2025-07-31,2025-08-02,2.0
ORD-100037,2025-05-03,2025-05-04,1.0
ORD-100038,2025-03-15,2025-03-15,0.0
ORD-100039,2024-09-21,2024-09-21,0.0
ORD-100040,2025-01-27,2025-01-28,1.0
ORD-100041,2025-04-22,2025-04-24,2.0
ORD-100042,2025-06-16,2025-06-18,2.0
ORD-100043,2025-11-19,2025-11-19,0.0
ORD-100044,2024-11-05,2024-11-05,0.0
ORD-100045,2025-12-06,2025-12-07,1.0
ORD-100046,2024-12-06,2024-12-08,2.0
ORD-100047,2025-06-13,2025-06-14,1.0
ORD-100048,2024-08-01,2024-08-01,0.0
ORD-100049,2025-01-18,2025-01-18,0.0
ORD-100050,2025-03-07,,
ORD-100051,2024-09-20,2024-09-20,0.0
ORD-100052,2025-04-24,2025-04-24,0.0
ORD-100053,2024-12-07,2024-12-07,0.0
ORD-100054,2024-10-15,2024-10-15,0.0
ORD-100055,2024-07-11,2024-07-13,2.0
ORD-100056,2025-07-23,,
ORD-100057,2024-11-08,2024-11-08,0.0
ORD-100058,2024-10-25,2024-10-25,0.0
ORD-100059,2025-06-15,2025-06-16,1.0
ORD-100060,2025-07-03,2025-07-05,2.0
ORD-100061,2025-10-08,2025-10-08,0.0
ORD-100062,2025-11-22,2025-11-22,0.0
ORD-100063,2025-12-01,2025-12-01,0.0
ORD-100064,2025-02-21,,
ORD-100065,2025-10-20,2025-10-23,3.0
ORD-100066,2025-09-23,2025-09-25,2.0
ORD-100067,2025-12-19,2025-12-19,0.0
ORD-100068,2024-10-28,2024-10-28,0.0
ORD-100069,2025-03-14,,
ORD-100070,2025-01-23,2025-01-23,0.0
ORD-100071,2025-03-16,2025-03-16,0.0
ORD-100072,2025-11-27,2025-11-27,0.0
ORD-100073,2025-08-11,2025-08-11,0.0
ORD-100074,2024-08-07,2024-08-07,0.0
ORD-100075,2025-12-11,2025-12-11,0.0
ORD-100076,2024-05-21,2024-05-22,1.0
ORD-100077,2025-06-16,2025-06-16,0.0
ORD-100078,2024-11-10,2024-11-10,0.0
ORD-100079,2024-11-27,2024-11-30,3.0
ORD-100080,2025-12-01,2025-12-01,0.0
ORD-100081,2025-10-17,2025-10-17,0.0
ORD-100082,2025-11-03,2025-11-04,1.0
ORD-100083,2025-01-17,2025-01-20,3.0
ORD-100084,2025-10-08,2025-10-08,0.0
ORD-100085,2024-11-19,2024-11-20,1.0
ORD-100086,2025-12-27,2025-12-27,0.0
ORD-100087,2025-05-01,2025-05-02,1.0
ORD-100088,2025-10-24,2025-10-24,0.0
ORD-100089,2025-07-15,2025-07-16,1.0
