order_id,customer_id,order_date,order_status,payment_method
ORD-100000,CUST-19264,2025-05-31 00:00:00,delivered,UPI
ORD-100001,CUST-17391,2025-10-23 00:00:00,delivered,COD
ORD-100002,CUST-16478,2025-06-03 00:00:00,delivered,UPI
ORD-100003,CUST-28654,2025-05-15 00:00:00,delivered,Wallet
ORD-100004,CUST-11664,2025-11-14 00:00:00,delivered,Credit Card
ORD-100005,CUST-23590,2024-06-17 00:00:00,delivered,UPI
ORD-100006,CUST-29953,2025-12-16 00:00:00,delivered,COD
ORD-100007,CUST-11131,2025-05-04 00:00:00,delivered,COD
ORD-100008,CUST-25398,2025-12-11 00:00:00,returned,COD
ORD-100009,CUST-12632,2025-04-22 00:00:00,delivered,UPI
ORD-100010,CUST-21664,2025-03-03 00:00:00,delivered,Credit Card
ORD-100011,CUST-18522,2024-10-26 00:00:00,delivered,UPI
ORD-100012,CUST-12479,2024-09-06 00:00:00,returned,COD
ORD-100013,CUST-13181,2024-10-15 00:00:00,delivered,UPI
ORD-100014,CUST-27412,2025-05-04 00:00:00,returned,COD
ORD-100015,CUST-28890,2025-01-30 00:00:00,delivered,Credit Card
ORD-100016,CUST-22926,2025-12-01 00:00:00,delivered,UPI
ORD-100017,CUST-20033,2025-08-18 00:00:00,delivered,Credit Card
ORD-100018,CUST-28474,2025-11-13 00:00:00,delivered,UPI
ORD-100019,CUST-27585,2025-07-09 00:00:00,delivered,UPI
ORD-100020,CUST-25801,2025-03-08 00:00:00,delivered,UPI
ORD-100021,CUST-26864,2024-12-09 00:00:00,delivered,UPI
ORD-100022,CUST-14773,2025-01-15 00:00:00,delivered,UPI
ORD-100023,CUST-28336,2025-07-04 00:00:00,delivered,Net Banking
ORD-100024,CUST-25271,2025-10-21 00:00:00,delivered,UPI
ORD-100025,CUST-23517,2024-10-07 00:00:00,delivered,COD
ORD-100026,CUST-24511,2025-05-22 00:00:00,delivered,COD
ORD-100027,CUST-13472,2025-04-09 00:00:00,delivered,UPI
ORD-100028,CUST-28094,2025-03-10 00:00:00,delivered,Credit Card
ORD-100029,CUST-23271,2025-02-21 00:00:00,delivered,UPI
ORD-100030,CUST-16380,2024-12-15 00:00:00,delivered,Credit Card
ORD-100031,CUST-28915,2025-09-24 00:00:00,delivered,UPI
ORD-100032,CUST-20272,2025-09-17 00:00:00,delivered,UPI
ORD-100033,CUST-29460,2025-01-07 00:00:00,delivered,Net Banking
ORD-100034,CUST-16102,2025-11-17 00:00:00,delivered,COD
ORD-100035,CUST-25424,2025-10-10 00:00:00,delivered,COD
ORD-100036,CUST-18044,2025-07-28 00:00:00,delivered,UPI
ORD-100037,CUST-12027,2025-04-27 00:00:00,delivered,UPI
