order_id,review_score
ORD-100000,4
ORD-100001,5
ORD-100002,4
ORD-100005,5
ORD-100006,4
ORD-100009,3
ORD-100010,3
ORD-100011,5
ORD-100016,5
ORD-100021,2
ORD-100022,3
ORD-100023,1
ORD-100024,5
ORD-100025,5
ORD-100026,5
ORD-100028,5
ORD-100029,4
ORD-100031,5
ORD-100034,4
ORD-100036,2
ORD-100037,3
ORD-100038,5
ORD-100040,4
ORD-100042,4
ORD-100044,5
ORD-100045,2
ORD-100046,3
ORD-100047,4
ORD-100048,5
ORD-100051,5
ORD-100053,5
ORD-100054,5
ORD-100057,4
ORD-100060,3
ORD-100061,5
ORD-100062,5
ORD-100066,2
ORD-100067,5
ORD-100071,5
ORD-100072,5
ORD-100073,5
ORD-100077,3
ORD-100078,5
ORD-100079,2
ORD-100082,4
ORD-100083,1
ORD-100085,4
ORD-100086,3
ORD-100088,5
ORD-100089,4
ORD-100090,4
ORD-100091,5
ORD-100095,5
ORD-100096,4
ORD-100098,5
ORD-100101,5
ORD-100102,2
ORD-100104,5
ORD-100105,3
ORD-100107,5
ORD-100109,5
ORD-100111,4
ORD-100112,5
ORD-100114,4
ORD-100116,4
ORD-100119,2
ORD-100120,5
ORD-100121,2
ORD-100123,4
ORD-100125,5
ORD-100126,4
ORD-100127,2
ORD-100129,4
ORD-100130,5
ORD-100133,5
ORD-100134,3
ORD-100135,4
ORD-100137,5
ORD-100138,5
ORD-100139,5
ORD-100141,4
ORD-100143,5
ORD-100146,4
ORD-100147,2
ORD-100148,2
ORD-100150,5
ORD-100152,5
ORD-100154,3
ORD-100155,4
ORD-100156,5
ORD-100157,5
ORD-100158,5
ORD-100161,5
ORD-100163,4
ORD-100165,4
ORD-100166,4
ORD-100167,4
ORD-100170,5
ORD-100171,4
ORD-100172,3
ORD-100175,2
ORD-100176,4
ORD-100177,5
ORD-100178,5
ORD-100179,4
ORD-100180,2
ORD-100182,5
ORD-100183,5
ORD-100184,4
ORD-100185,3
ORD-100186,5
ORD-100187,4
ORD-100190,3
ORD-100192,2
ORD-100193,5
ORD-100195,5
ORD-100198,3
ORD-100200,5
ORD-100201,5
ORD-100202,4
ORD-100203,2
ORD-100205,5
ORD-100206,4
ORD-100208,4
ORD-100211,5
ORD-100213,5
ORD-100214,5
ORD-100215,5
ORD-100218,4
ORD-100220,2
ORD-100221,4
ORD-100222,5
ORD-100227,5
ORD-100230,5
ORD-100232,3
ORD-100236,4
ORD-100238,4
ORD-100243,5
ORD-100244,5
ORD-100248,4
ORD-100249,5
ORD-100251,1
ORD-100253,5
ORD-100255,5
ORD-100257,4
ORD-100259,5
ORD-100261,2
ORD-100263,3
ORD-100265,5
ORD-100267,5
ORD-100268,5
ORD-100269,2
ORD-100271,4
ORD-100272,3
ORD-100273,5
ORD-100275,5
ORD-100279,4
ORD-100282,5
ORD-100283,5
ORD-100284,5
ORD-100285,2
ORD-100286,2
ORD-100287,5
ORD-100288,4
ORD-100292,4
ORD-100293,4
ORD-100295,1
ORD-100297,4
ORD-100301,5
ORD-100302,4
ORD-100304,5
ORD-100305,2
ORD-100307,5
ORD-100310,5
ORD-100311,5
ORD-100319,5
ORD-100321,5
ORD-100323,5
ORD-100324,3
ORD-100325,3
ORD-100329,4
ORD-100332,4
ORD-100333,5
ORD-100334,3
ORD-100336,2
ORD-100338,2
ORD-100340,3
ORD-100341,5
ORD-100342,4
ORD-100343,5
ORD-100344,3
ORD-100345,5
ORD-100346,4
ORD-100348,5
ORD-100349,5
ORD-100350,5
ORD-100351,4
ORD-100358,3
ORD-100359,5
ORD-100360,4
ORD-100362,5
ORD-100363,4
ORD-100364,5
ORD-100365,5
ORD-100366,1
ORD-100367,5
ORD-100369,2
ORD-100371,5
ORD-100372,5
ORD-100373,5
ORD-100374,5
ORD-100376,5
ORD-100377,5
ORD-100379,5
ORD-100380,5
ORD-100382,5
ORD-100384,5
ORD-100385,5
ORD-100387,5
ORD-100388,4
ORD-100389,4
ORD-100391,2
ORD-100392,2
ORD-100393,5
ORD-100394,5
ORD-100395,5
ORD-100396,5
ORD-100398,5
ORD-100399,5
ORD-100400,5
ORD-100401,5
ORD-100402,5
ORD-100403,4
ORD-100404,4
ORD-100406,5
ORD-100408,3
ORD-100410,5
ORD-100412,5
ORD-100413,2
ORD-100415,4
ORD-100416,5
ORD-100417,5
ORD-100418,3
ORD-100420,5
ORD-100423,4
ORD-100425,2
ORD-100426,5
ORD-100428,5
ORD-100431,4
ORD-100435,5
ORD-100438,5
ORD-100440,5
ORD-100442,2
